,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
32,OpenAI,199.65166,0.21870,-101.35684,-0.88724,229.45443,-119.45591,Q4,0.60855,0.19030,12.54618,-4.24588,True,947.57989
33,Mistral,202.13580,-0.49885,-104.23441,-0.89318,231.92799,-120.97064,Q1,-0.49702,-0.77854,9.71961,0.56646,True,958.56180
34,Antrophic,197.94216,0.67725,-97.97579,-0.90528,227.76046,-118.65110,Boom!,0.31235,0.05669,7.71891,2.73399,True,940.72292
35,Antrophic,199.37096,1.05816,-100.96621,-0.90093,229.19402,-121.04993,Q4,0.68039,-0.31114,6.66310,-3.76890,True,946.37172
36,Mistral,199.25010,-0.62092,-99.12734,-0.88048,229.05309,-119.51178,Q4,3.26141,1.79665,8.23841,-3.96947,True,946.68683
37,OpenAI,198.84553,-0.56503,-95.98586,-0.89240,228.66989,-119.47480,Boom!,-1.54989,0.59779,11.79657,-3.71882,True,946.23474
38,Antrophic,199.31855,0.00757,-94.36385,-0.88734,229.09951,-118.96148,Q4,1.67960,-1.20170,11.37845,2.47320,True,949.41083
39,Antrophic,200.43493,-0.17128,-100.98472,-0.88622,230.21284,-122.53641,Q3,-0.07204,-0.42002,14.20240,9.19798,True,951.68227
40,Mistral,199.20086,-0.43875,-98.46860,-0.87716,228.99514,-120.84855,Q4,1.64404,0.60146,12.90385,-3.36201,True,946.77001
41,Antrophic,198.79715,-0.35033,-97.87189,-0.88313,228.57116,-119.85346,Boom!,-0.09295,-0.12662,10.25173,3.70479,True,945.04981
42,Antrophic,199.56043,-0.93324,-102.55366,-0.90515,229.38534,-122.83735,Q4,1.04741,-1.08499,12.09290,6.64571,True,946.52533
43,OpenAI,198.07189,-0.23808,-101.05173,-0.88547,227.87891,-120.96841,Boom!,-0.55618,0.80400,7.80453,3.03496,True,939.83357
44,OpenAI,199.04019,-1.11499,-96.59619,-0.87933,228.82091,-117.41508,Q4,-0.26463,-0.03204,11.86736,-0.37320,True,946.90287
45,Mistral,201.47748,0.33856,-102.84939,-0.89206,231.26217,-122.23620,Q2,-1.22916,-0.85546,11.97359,-4.64732,True,955.96271
46,OpenAI,200.03639,-0.74104,-100.72132,-0.88165,229.82432,-120.67295,Q3,-0.30372,-0.45907,12.76255,-0.87980,True,949.82129
47,Antrophic,198.93362,0.90829,-94.36305,-0.89001,228.72470,-121.82654,Boom!,-1.68617,1.04945,10.73150,-0.52491,True,947.48659
48,OpenAI,202.36459,-0.47116,-99.75356,-0.89212,232.19206,-121.62304,Q1,0.74699,0.54930,9.94771,-3.25472,True,961.94618
49,OpenAI,200.50636,-0.28543,-100.46674,-0.88526,230.31100,-119.08600,Q3,0.40673,0.66791,6.94732,-0.53801,True,952.29844
50,OpenAI,200.93988,-0.08532,-101.98958,-0.89743,230.77265,-120.85664,Q3,0.94240,-3.15831,12.84186,-2.28967,True,953.70461
51,Antrophic,202.15376,0.96688,-98.41305,-0.90574,231.98447,-124.66943,Q1,-0.77671,-0.42149,8.72284,3.48001,True,961.56228
52,OpenAI,199.29928,1.34395,-103.27216,-0.89540,229.12606,-117.27828,Q4,-1.58692,0.20245,9.42007,-6.44672,True,944.86033
53,Mistral,200.26167,0.69703,-107.30636,-0.88208,230.05252,-119.17555,Q3,-0.49370,-1.85811,8.88974,-2.06189,True,947.65517
54,OpenAI,199.53283,-0.99435,-97.70874,-0.88285,229.31565,-120.68926,Q4,2.42737,-1.11624,9.46406,3.78142,True,948.80979
55,OpenAI,199.42151,0.77401,-99.51445,-0.88901,229.23918,-119.30798,Q4,-2.83817,2.60882,4.91229,-3.91996,True,947.35032
56,Antrophic,200.76611,0.67170,-102.24841,-0.89863,230.56768,-120.51945,Q3,-0.33767,-0.61260,8.74639,4.26410,True,952.70634
57,OpenAI,200.25093,-0.21169,-99.44106,-0.88078,230.03796,-123.93303,Q3,2.76869,-1.77760,8.96489,-2.16727,True,951.53413
58,OpenAI,198.22130,0.80702,-100.83092,-0.88788,228.02228,-118.23917,Boom!,-2.08210,-1.31431,11.01907,-1.62280,True,940.69103
59,OpenAI,199.52565,-0.62284,-103.72653,-0.89125,229.33588,-120.94461,Q4,-0.15588,1.17200,10.34452,-0.78233,True,945.76499
60,Mistral,199.29125,-0.69606,-98.73519,-0.88393,229.08735,-118.29466,Q4,0.41649,0.89676,15.91110,2.41298,True,947.08866
61,OpenAI,200.46600,0.70924,-101.09471,-0.88820,230.27455,-121.56873,Q3,-1.06475,2.27561,9.22520,-7.90327,True,951.78263
62,OpenAI,199.21080,-0.71573,-103.26869,-0.87880,228.99071,-120.23896,Q4,-0.70869,1.25412,11.81251,-4.10322,True,944.41966
63,OpenAI,200.53782,-1.06887,-101.81740,-0.87856,230.31746,-119.71537,Q3,-0.83078,-1.60147,7.84715,-0.56272,True,951.78038
64,Antrophic,200.30345,-0.27208,-100.53592,-0.90513,230.13363,-122.08467,Q3,-0.23562,-0.81503,7.48733,3.01032,True,951.24930
65,Antrophic,198.88514,-1.43999,-95.66642,-0.89686,228.67960,-120.17372,Boom!,-0.18357,-0.52138,8.73941,-2.42404,True,946.59249
66,Antrophic,200.77138,0.90044,-96.76316,-0.88103,230.54275,-122.67796,Q3,-0.51479,-0.07728,11.96048,9.29428,True,955.47530
67,OpenAI,199.35609,0.24708,-98.79050,-0.89062,229.16533,-119.00662,Q4,0.21588,-0.16605,9.58940,0.81368,True,947.38520
68,OpenAI,197.14087,-0.52866,-96.43390,-0.88797,226.94184,-116.79408,Boom!,0.09457,0.09832,13.60321,-4.09348,True,937.48741
69,Antrophic,200.46808,0.91397,-101.03201,-0.90963,230.30076,-122.10218,Q3,-0.80614,1.24014,11.01820,3.42966,True,951.82442
70,Mistral,200.03614,-0.45723,-101.38098,-0.88102,229.82111,-120.43669,Q3,-0.34654,-0.40226,7.73784,4.15267,True,949.49022
71,OpenAI,200.06123,-0.08521,-100.38376,-0.89256,229.89268,-123.61533,Q3,2.76484,-1.69962,10.64789,-2.71647,True,950.11428
72,OpenAI,200.36714,-1.43950,-95.65260,-0.88940,230.18233,-119.51661,Q3,-1.80282,-0.42128,7.51638,-1.74970,True,954.00938
73,Antrophic,201.85904,1.31183,-99.34222,-0.89323,231.65630,-121.50442,Q2,0.34246,-0.94536,12.02632,0.54372,True,959.62410
74,Antrophic,200.92853,0.20391,-105.24695,-0.90283,230.73312,-120.56524,Q3,-0.94435,-0.79360,10.30685,-0.47734,True,952.01919
75,OpenAI,200.31953,0.29726,-102.49550,-0.88591,230.12761,-121.47157,Q3,-2.62800,1.18578,12.83859,-2.58536,True,950.34991
76,Mistral,200.59245,0.79607,-99.07285,-0.88572,230.38512,-124.24016,Q3,0.16332,-0.34274,7.98917,1.79601,True,953.42581
77,Antrophic,199.80910,0.82945,-97.09118,-0.90000,229.63901,-120.76737,Q4,0.28969,-0.20077,13.49402,-4.02952,True,950.49993
78,OpenAI,199.86657,0.39941,-97.19649,-0.89482,229.68934,-121.34983,Q4,-2.98213,-1.22009,13.22573,-1.94762,True,950.73462
79,Mistral,200.32111,0.68831,-100.88376,-0.87597,230.11254,-118.25003,Q3,-1.13259,1.65543,9.42110,2.57824,True,951.16365
80,Antrophic,200.58831,0.91500,-102.21741,-0.89642,230.38679,-120.69999,Q3,-0.67601,-0.70107,13.23358,2.44074,True,951.83283
81,OpenAI,199.74651,-0.72063,-99.14440,-0.89003,229.56883,-120.98806,Q4,-0.25680,-0.61755,5.62889,-4.51729,True,949.16035
82,Mistral,199.16587,-0.52275,-92.88443,-0.88522,228.95839,-117.91323,Q4,0.72434,-1.88721,10.21944,-1.77810,True,949.38714
83,Mistral,198.48988,-0.99829,-98.81493,-0.89328,228.27711,-119.95377,Boom!,1.21085,0.57642,12.20447,0.97282,True,943.04195
84,Antrophic,199.51886,0.15193,-101.77787,-0.88694,229.29403,-122.14882,Q4,-0.68346,0.36031,17.54133,9.85614,True,946.70539
85,Mistral,200.59865,0.84903,-107.27975,-0.89029,230.39978,-121.08243,Q3,-0.49344,0.19029,14.10376,-0.20881,True,949.35335
86,Mistral,198.72040,-1.39941,-105.11725,-0.89703,228.52521,-117.38418,Boom!,1.52240,1.19474,11.99305,0.71994,True,941.04338
87,Antrophic,201.12813,0.38632,-98.73784,-0.89904,230.92669,-122.34730,Q2,-1.18441,0.23318,6.71627,-2.80480,True,956.27171
88,Mistral,200.27416,-0.12824,-102.32061,-0.89163,230.07691,-120.59291,Q3,-0.15220,-3.63247,10.92352,1.75078,True,950.21047
89,Antrophic,199.16905,0.03729,-100.38984,-0.90351,228.99113,-122.65620,Q4,-0.28143,-0.44522,16.08953,4.91121,True,945.65031
90,Antrophic,200.40015,0.01139,-103.73736,-0.88975,230.18991,-118.10396,Q3,-0.21303,-0.54765,7.29325,-2.28255,True,950.13207
91,OpenAI,200.13649,-0.15145,-99.76290,-0.88813,229.94775,-119.08853,Q3,0.84026,0.04997,11.45266,-0.41612,True,950.80100
92,OpenAI,201.14990,0.52792,-103.29632,-0.88204,230.94128,-122.20639,Q2,2.67025,0.05422,9.48606,0.42593,True,954.10134
93,Antrophic,199.63182,0.00127,-96.06125,-0.89710,229.46068,-118.55501,Q4,1.49442,0.38254,10.27565,5.67384,True,950.12849
94,Antrophic,200.92593,0.23187,-100.55859,-0.89264,230.73366,-120.53714,Q3,-0.64035,0.43110,13.16591,-0.87923,True,954.35035
95,Mistral,199.45746,0.05764,-98.48681,-0.89406,229.25771,-119.48071,Q4,-2.18852,-1.47423,10.59899,-1.74014,True,948.04390
96,Antrophic,198.82119,0.74619,-101.29115,-0.89341,228.60790,-117.89016,Boom!,0.43418,-0.81220,8.00438,5.64748,True,943.46040
97,OpenAI,201.61320,-0.34796,-102.46154,-0.89196,231.43652,-123.25181,Q2,0.22397,-2.33849,13.63329,-3.28817,True,956.83523
98,Antrophic,200.76452,0.09932,-104.23563,-0.88590,230.53303,-121.70835,Q3,0.94206,-1.40067,9.75514,0.35166,True,951.70479
99,Mistral,199.73455,0.81280,-94.14208,-0.88839,229.52623,-119.29181,Q4,-2.16291,-0.95945,15.42684,0.08129,True,951.60168
100,Mistral,200.12412,0.08141,-97.87877,-0.88609,229.91182,-120.65368,Q3,1.09334,0.72647,13.60580,0.44039,True,951.68119
101,Antrophic,199.35806,-0.68161,-101.89504,-0.90303,229.19096,-120.34700,Q4,-0.85789,0.13686,10.47000,10.05789,True,945.84277
102,OpenAI,199.88992,1.49965,-99.02321,-0.87887,229.67520,-120.73786,Q4,-0.88772,1.27215,12.41979,-0.91632,True,949.93799
103,Mistral,199.37462,-0.38483,-100.05737,-0.87805,229.17403,-119.33305,Q4,0.28649,0.10647,15.39711,-1.73408,True,946.84443
104,Mistral,198.94205,0.35372,-100.04294,-0.88884,228.74574,-119.13903,Boom!,0.66288,0.40861,14.41155,0.91376,True,944.68880
105,Antrophic,200.83014,1.18221,-99.73968,-0.89742,230.62519,-122.96354,Q3,0.80136,-0.09602,13.66789,1.83668,True,954.28086
106,OpenAI,200.11573,-0.13932,-99.98042,-0.88586,229.92436,-122.51829,Q3,-0.04769,-0.61755,9.58983,0.01610,True,950.58844
107,OpenAI,199.23141,-0.11149,-101.61830,-0.88060,229.01969,-120.44820,Q4,0.91868,-1.23976,11.19853,-1.67720,True,945.34789
108,OpenAI,199.82237,1.21022,-102.94059,-0.88155,229.61319,-121.34930,Q4,-1.19822,-1.74047,8.08712,1.55952,True,947.64155
109,OpenAI,200.97807,-0.18709,-96.49984,-0.88995,230.79070,-119.98676,Q3,3.02972,-0.16346,13.69302,-6.45511,True,956.64043
110,OpenAI,201.97433,0.38047,-100.57195,-0.89332,231.79998,-124.64164,Q2,0.86833,-0.89712,11.76417,-8.12996,True,959.58568
111,Antrophic,199.41755,-1.38367,-97.96907,-0.89102,229.22210,-119.05398,Q4,-0.76493,-0.19148,11.33929,3.32048,True,948.10320
112,OpenAI,199.23803,0.36907,-100.92267,-0.88191,229.03268,-121.61973,Q4,2.01006,-2.14101,9.01389,1.00455,True,945.72884
113,OpenAI,200.02005,-0.07517,-100.55889,-0.89155,229.84722,-117.19992,Q3,-1.61673,-1.04948,10.13897,0.07769,True,949.82078
114,Antrophic,198.51584,-0.51285,-102.94703,-0.88337,228.29346,-118.73520,Boom!,1.13306,-0.51123,13.93423,-4.09977,True,941.10569
115,OpenAI,201.57194,1.20447,-101.70618,-0.88807,231.37298,-121.87832,Q2,-0.60474,2.25616,8.45115,1.45746,True,957.00662
116,Antrophic,200.72365,-0.36110,-105.04669,-0.90067,230.52829,-121.38068,Q3,0.21496,-0.83530,12.72717,0.62453,True,951.09490
117,Antrophic,198.71375,-0.54704,-104.57909,-0.89056,228.50433,-120.32728,Boom!,1.00740,0.20249,11.75146,9.31097,True,941.27921
118,Mistral,199.52420,0.09112,-96.50300,-0.88820,229.30930,-117.60419,Q4,1.14013,-0.05650,5.17364,-2.30511,True,949.36948
119,OpenAI,199.60621,-0.08230,-99.82322,-0.88581,229.40150,-120.49761,Q4,2.23728,-1.42293,15.06666,-0.94601,True,948.11946
120,Antrophic,199.90841,-1.23313,-97.72131,-0.89450,229.71338,-121.80220,Q4,0.38135,0.00463,15.89821,1.93926,True,950.68138
121,Antrophic,201.50939,-0.08229,-106.89868,-0.90062,231.31538,-121.74847,Q2,0.45565,-0.31287,9.37761,0.50058,True,954.09762
122,OpenAI,200.25077,0.05139,-103.99091,-0.89495,230.07869,-120.31306,Q3,-0.43437,-1.38792,15.33349,-5.30644,True,949.25839
123,Antrophic,201.89451,0.65981,-96.16269,-0.88082,231.66806,-121.99444,Q2,-0.02909,0.63065,10.78951,-4.99534,True,961.39121
124,OpenAI,198.83922,-0.73617,-99.14347,-0.88484,228.63147,-118.67143,Boom!,-1.07800,1.36995,9.58996,-2.20840,True,944.62437
125,Mistral,199.36208,-0.24212,-94.13554,-0.87811,229.14463,-118.93911,Q4,-0.90631,1.06628,9.92081,-1.24932,True,949.74264
126,Antrophic,198.48785,-1.27546,-94.84261,-0.88281,228.26140,-116.30365,Boom!,-0.19292,1.13003,7.41701,-0.05110,True,945.01794
127,Mistral,201.05362,-0.04709,-100.12736,-0.89124,230.83466,-120.69559,Q2,-3.06393,-2.20914,10.13530,0.27582,True,955.20441
128,Antrophic,198.99643,-0.11439,-93.69777,-0.89111,228.79165,-118.53746,Boom!,-0.39736,-0.72400,13.05809,-1.35456,True,948.13327
129,OpenAI,202.15539,1.82958,-102.98948,-0.88274,231.94890,-122.55285,Q1,-3.14169,1.36873,7.23913,-3.04048,True,959.28221
130,Mistral,201.27462,0.75003,-103.04893,-0.88936,231.06821,-122.39695,Q2,-1.88327,-1.51670,13.81409,-2.02174,True,954.84864
131,OpenAI,199.86792,-0.23820,-98.83964,-0.88723,229.68071,-121.00425,Q4,0.76180,2.33109,10.73175,-2.06253,True,949.91979
132,Antrophic,199.06226,0.03231,-98.60009,-0.88597,228.83207,-120.87582,Q4,0.61840,-0.01705,3.86686,-2.20047,True,946.01126
133,Mistral,201.46071,-0.48576,-97.14698,-0.88656,231.24592,-121.40164,Q2,0.66126,1.56871,9.03359,-1.18274,True,958.73004
134,Mistral,200.89114,0.36419,-95.83506,-0.89200,230.69686,-122.83769,Q3,-1.51657,-1.82264,11.58566,1.15333,True,956.53816
135,OpenAI,198.77956,-0.12009,-96.33320,-0.88989,228.58796,-118.41149,Boom!,-3.14998,0.06341,13.74880,0.09734,True,945.73122
136,OpenAI,199.83223,-0.88868,-103.64968,-0.88532,229.63428,-120.82410,Q4,0.17266,-0.42075,12.20311,-4.10632,True,947.33632
137,Antrophic,198.07701,-0.75352,-96.60367,-0.88744,227.84781,-118.65637,Boom!,0.78397,0.05027,11.76020,-0.61384,True,942.08324
138,Mistral,198.71754,-0.59142,-102.53055,-0.89296,228.50830,-118.96332,Boom!,-2.30837,0.29958,13.73465,-3.38556,True,942.32244
139,OpenAI,199.58994,-0.38324,-100.04427,-0.87876,229.37028,-121.07436,Q4,-2.46388,2.25933,8.38198,5.03312,True,947.92756
140,Antrophic,199.18804,0.05814,-100.52735,-0.90963,229.02041,-121.30632,Q4,1.45506,0.05327,8.90422,7.99600,True,945.67653
141,Mistral,200.24076,0.67040,-98.70071,-0.88924,230.03155,-122.08892,Q3,-0.99237,-0.17814,14.49266,-3.16606,True,951.85343
142,OpenAI,201.46071,0.28636,-95.84383,-0.88330,231.24935,-124.42819,Q2,-1.58159,1.14179,6.97834,2.34903,True,959.38165
143,OpenAI,199.70012,-0.68931,-95.54355,-0.89043,229.52363,-118.24185,Q4,-1.72514,1.32545,9.29948,0.30309,True,950.72882
144,Mistral,201.11104,0.91535,-101.00445,-0.87552,230.89252,-121.22125,Q2,0.30080,0.66160,14.01048,-1.02052,True,955.05298
145,Mistral,200.44625,-0.40113,-103.46268,-0.88568,230.24491,-120.58907,Q3,-0.39191,0.52828,10.81849,-2.42441,True,950.49993
146,Mistral,199.23183,-0.61571,-102.24720,-0.88850,229.01879,-118.91857,Q4,0.20081,1.65683,7.74089,0.11545,True,945.03555
147,Mistral,201.20208,0.29315,-98.19736,-0.89175,230.99120,-123.76379,Q2,2.71078,0.72982,11.94817,0.24405,True,956.91170
148,Mistral,200.60363,0.35836,-100.81040,-0.88681,230.39930,-120.49074,Q3,-1.52728,-0.35760,11.86679,-0.37108,True,952.61293
149,OpenAI,198.85301,0.09205,-95.35327,-0.88790,228.66779,-119.67326,Boom!,-1.33800,-0.14639,11.06026,-5.75001,True,946.58843
150,Mistral,199.59006,-1.01643,-104.09705,-0.88312,229.37763,-119.06918,Q4,-1.39857,0.60998,0.58040,-3.64523,True,945.90178
151,Mistral,201.59690,-0.64557,-102.24027,-0.87959,231.38136,-122.88623,Q2,-0.86753,-1.29693,8.09817,1.03672,True,956.86437
152,OpenAI,199.81992,-0.61330,-105.99276,-0.89137,229.63853,-120.74197,Q4,-1.42574,2.41016,9.37604,-4.24093,True,946.10324
153,Mistral,199.57862,0.00861,-105.27447,-0.88187,229.37289,-118.23045,Q4,-0.80461,0.29805,12.31318,1.91786,True,945.25586
154,OpenAI,200.01854,-0.28028,-95.99515,-0.88806,229.83058,-120.95758,Q3,-0.62964,-0.17485,10.73378,-7.11026,True,952.09512
155,Mistral,199.86446,-1.58541,-101.21503,-0.89149,229.66320,-122.31844,Q4,-0.24752,-0.13627,10.45176,-1.60116,True,948.71480
156,Antrophic,199.85502,-0.00799,-97.45569,-0.89959,229.67223,-120.78076,Q4,-0.97318,-0.25445,1.38326,-1.14543,True,950.54724
157,Antrophic,199.08356,0.09403,-101.58389,-0.88962,228.88419,-118.94340,Q4,1.12473,-0.84177,14.26052,6.66214,True,944.62585
158,Mistral,200.39459,0.10700,-103.96729,-0.88516,230.17569,-122.37107,Q3,0.60734,-0.80724,9.40896,-1.67220,True,949.98931
159,OpenAI,199.33556,-0.04206,-100.47438,-0.88800,229.14508,-118.00111,Q4,0.19864,-0.00725,5.81709,-7.74498,True,946.44060
160,OpenAI,199.64639,0.64351,-101.40290,-0.88943,229.45317,-120.19051,Q4,1.12326,0.68304,11.84466,-3.37554,True,947.53052
161,OpenAI,200.42733,0.77517,-100.10604,-0.88553,230.23094,-119.93619,Q3,-0.11797,-0.30888,11.54950,-1.86691,True,952.08361
162,Mistral,199.89585,-0.20493,-101.02639,-0.88822,229.68360,-121.22058,Q4,0.50583,0.09944,15.26556,0.73823,True,948.96604
163,OpenAI,199.05472,0.06879,-102.18804,-0.88153,228.84557,-120.21445,Q4,-2.21002,-0.07040,14.82115,-3.94038,True,944.17955
164,OpenAI,198.68256,-0.60250,-104.10090,-0.89516,228.50922,-120.79016,Boom!,-1.23713,2.14466,15.76358,-0.23947,True,941.36237
165,Antrophic,199.81114,-0.15051,-102.04574,-0.88309,229.58577,-121.01275,Q4,0.73649,-0.42094,6.84085,2.73087,True,948.03284
166,OpenAI,200.29132,-0.87257,-100.80823,-0.88238,230.07674,-120.12811,Q3,-2.15175,2.06058,13.83799,-0.60782,True,951.05248
167,OpenAI,201.42276,0.25837,-97.43537,-0.88199,231.21668,-123.15984,Q2,-0.87317,0.78311,10.86450,-1.84051,True,958.39612
168,Antrophic,199.98707,-0.12819,-99.03158,-0.88596,229.77397,-120.78391,Q4,1.19529,-0.21103,11.28446,1.50216,True,950.41958
169,Antrophic,200.15165,-0.57297,-99.13415,-0.88971,229.94359,-120.37167,Q3,-0.17547,0.94124,12.06938,4.58646,True,951.19119
170,OpenAI,199.36954,-0.97873,-102.00821,-0.89309,229.18888,-121.50871,Q4,-1.54276,1.48694,8.07574,-6.07750,True,945.84362
171,OpenAI,199.66704,-0.59656,-99.66146,-0.88987,229.48156,-119.05383,Q4,-0.59086,0.70812,6.80354,-2.33491,True,948.50449
172,OpenAI,197.70958,0.24424,-90.52344,-0.89000,227.53035,-118.76282,Boom!,-1.43317,-0.49712,13.54547,-6.19878,True,943.28620
173,OpenAI,200.17751,-0.01737,-100.04250,-0.88923,229.99440,-119.66634,Q3,-2.29488,-0.44777,5.79144,-0.47940,True,950.86629
174,OpenAI,199.79639,-0.39439,-98.62212,-0.89004,229.60442,-120.71040,Q4,1.04763,-0.59724,10.44757,-1.27771,True,949.67090
175,Antrophic,198.96645,-0.09617,-104.28779,-0.89895,228.79200,-120.14135,Boom!,0.97501,-1.02399,12.60202,2.81797,True,942.68834
176,OpenAI,198.85800,-0.62404,-96.75485,-0.89374,228.68868,-114.91008,Boom!,2.77829,1.64637,13.36030,-4.33883,True,945.91258
177,Antrophic,199.98141,-0.63309,-101.18213,-0.88001,229.74861,-121.70218,Q4,-0.75264,1.29803,14.16372,1.93499,True,949.31599
178,Mistral,202.35536,1.25273,-106.76268,-0.88706,232.15877,-123.86914,Q1,-0.39439,-1.45084,13.93854,-0.87972,True,958.39546
179,Antrophic,199.57902,-1.45082,-97.15501,-0.89238,229.37029,-120.15433,Q4,1.44473,-1.05674,13.10637,5.61423,True,949.31762
180,Antrophic,199.93941,1.18361,-96.92296,-0.89502,229.73423,-118.62050,Q4,-0.86800,-0.46142,11.70428,-0.13524,True,951.23557
181,Mistral,199.08571,-1.17519,-98.87400,-0.88284,228.88705,-120.67952,Q4,2.69409,1.45289,10.02131,0.43949,True,945.99153
182,OpenAI,201.43665,-0.34654,-99.81224,-0.88446,231.23467,-123.78017,Q2,0.52014,0.77093,14.28780,-3.79642,True,957.27712
183,Antrophic,199.98494,-0.66551,-97.52666,-0.90470,229.81484,-120.34184,Q4,0.06291,0.64139,12.68133,-2.80876,True,951.16136
184,Mistral,198.59748,-1.58140,-100.27883,-0.88095,228.38340,-119.19514,Boom!,-2.31278,0.19941,13.00469,3.36589,True,942.84800
185,Antrophic,200.37526,0.62146,-104.68157,-0.90120,230.18292,-118.45186,Q3,-0.19689,0.56024,11.46178,1.95655,True,949.53553
186,OpenAI,198.23786,0.44946,-95.07060,-0.89488,228.06923,-118.81041,Boom!,-1.08871,1.40642,14.02273,-2.92954,True,943.65399
